age,young,mid,old,vold,job,admin,bluecollar,entrepreneur,housemaid,management,retired,selfemployed,student,services,technician,unemployed,marital,married,single,divorced,education,primary,secondary,tertiary,default,balance,housing,loan,contact,day,month,duration,campaign,campaign4,campaign8,campaign12,campaign16,pdays,previous,poutcome,po1failure,po2other,po3success,y
33,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,882,0,0,1,21,oct,39,1,1,0,0,0,151,3,failure,1,0,0,0
42,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,single,0,0,0,secondary,0,1,0,0,-247,1,1,1,21,oct,519,1,1,0,0,0,166,1,other,0,1,0,1
33,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,3444,1,0,1,21,oct,144,1,1,0,0,0,91,4,failure,1,0,0,1
36,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,2415,1,0,1,22,oct,73,1,1,0,0,0,86,4,other,0,1,0,0
36,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,0,1,0,1,23,oct,140,1,1,0,0,0,143,3,failure,1,0,0,1
44,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,1324,1,0,1,25,oct,119,1,1,0,0,0,89,2,other,0,1,0,0
26,1,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,0,0,tertiary,0,0,1,0,172,0,1,1,4,nov,21,1,1,0,0,0,140,4,other,0,1,0,0
51,0,0,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,single,0,0,0,secondary,0,1,0,0,3132,0,0,1,5,nov,449,1,1,0,0,0,176,1,failure,1,0,0,0
33,0,1,0,0,unemployed,0,0,0,0,0,0,0,0,0,0,1,divorced,0,0,1,secondary,0,1,0,0,1005,1,0,1,10,nov,175,1,1,0,0,0,174,2,failure,1,0,0,0
30,1,0,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,873,1,0,1,12,nov,119,1,1,0,0,0,167,3,success,0,0,1,0
30,1,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,tertiary,0,0,1,0,1243,1,0,1,13,nov,86,1,1,0,0,0,174,1,failure,1,0,0,0
44,0,1,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,1631,1,0,0,17,nov,81,1,1,0,0,0,195,2,failure,1,0,0,0
51,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,divorced,0,0,1,tertiary,0,0,1,0,119,0,0,0,17,nov,200,1,1,0,0,0,165,2,failure,1,0,0,0
51,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,58,1,0,0,17,nov,79,1,1,0,0,0,129,2,failure,1,0,0,0
44,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,6203,1,1,0,17,nov,58,1,1,0,0,0,188,1,failure,1,0,0,0
34,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,secondary,0,1,0,0,105,1,0,0,17,nov,303,1,1,0,0,0,196,2,failure,1,0,0,0
49,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,1533,0,0,0,17,nov,324,1,1,0,0,0,172,1,failure,1,0,0,0
47,0,1,0,0,housemaid,0,0,0,1,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,228,1,0,0,17,nov,80,1,1,0,0,0,118,1,failure,1,0,0,0
40,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,secondary,0,1,0,0,1623,1,0,0,17,nov,161,1,1,0,0,0,167,2,failure,1,0,0,0
47,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,1484,0,0,0,17,nov,297,1,1,0,0,0,119,3,failure,1,0,0,0
38,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,494,0,0,0,17,nov,146,1,1,0,0,0,104,2,other,0,1,0,0
54,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,secondary,0,1,0,0,198,1,1,0,17,nov,120,1,1,0,0,0,171,2,failure,1,0,0,0
52,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,1701,1,1,0,17,nov,381,1,1,0,0,0,117,2,other,0,1,0,0
48,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,divorced,0,0,1,secondary,0,1,0,0,295,1,0,0,17,nov,123,1,1,0,0,0,164,2,success,0,0,1,0
45,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,1477,1,0,0,17,nov,75,1,1,0,0,0,132,1,failure,1,0,0,0
39,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,401,1,0,0,17,nov,396,1,1,0,0,0,129,2,failure,1,0,0,0
39,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,primary,1,0,0,0,3324,0,0,0,17,nov,96,1,1,0,0,0,131,1,failure,1,0,0,0
37,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,1,0,0,0,0,17,nov,44,1,1,0,0,0,123,2,failure,1,0,0,0
49,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,64,0,0,0,17,nov,208,1,1,0,0,0,159,1,success,0,0,1,0
43,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,1865,1,0,0,17,nov,155,1,1,0,0,0,186,1,failure,1,0,0,0
35,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,divorced,0,0,1,tertiary,0,0,1,0,1718,1,1,0,17,nov,74,1,1,0,0,0,167,16,other,0,1,0,0
50,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,633,0,1,1,17,nov,302,1,1,0,0,0,111,6,failure,1,0,0,0
42,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,tertiary,0,0,1,0,35,1,1,0,17,nov,38,1,1,0,0,0,115,5,other,0,1,0,0
56,0,0,0,0,retired,0,0,0,0,0,1,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,2749,1,1,0,17,nov,38,1,1,0,0,0,172,2,failure,1,0,0,0
51,0,0,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,209,0,0,0,17,nov,130,1,1,0,0,0,111,2,failure,1,0,0,0
